mu,xaxis,yaxis,colors
1.007,-16.507,0,#9D6C97
0.9,-16.4,2,#9D6C97
0.806,-16.306,-2,#9D6C97
0.701,-16.201,1,#9D6C97
0.604,-16.104,1,#9D6C97
0.504,-16.004,0,#9D6C97
0.403,-15.903,1,#9D6C97
0.301,-15.801,1,#9D6C97
0.208,-15.708,1,#9D6C97
0.103,-15.603,1,#9D6C97
1.007,-15.507,3,#9DC3E6
0.003,-15.503,1,#9D6C97
0.001,-15.501,2,#9D6C97
-0.002,-15.498,0,#9D6C97
0.9,-15.4,4,#9DC3E6
-0.102,-15.398,-1,#9D6C97
0.806,-15.306000000000001,5,#9DC3E6
-0.2,-15.3,1,#9D6C97
0.701,-15.201,1,#9DC3E6
-0.3,-15.2,2,#9D6C97
0.604,-15.104,4,#9DC3E6
-0.4,-15.1,2,#9D6C97
0.504,-15.004,3,#9DC3E6
-0.501,-14.999,0,#9D6C97
0.403,-14.903,4,#9DC3E6
-0.6,-14.9,0,#9D6C97
0.301,-14.801,3,#9DC3E6
-0.7,-14.8,0,#9D6C97
0.208,-14.708,3,#9DC3E6
-0.8,-14.7,0,#9D6C97
0.103,-14.603,5,#9DC3E6
-0.903,-14.597,1,#9D6C97
1.007,-14.507,3,#9DD9C5
0.003,-14.503,5,#9DC3E6
0.001,-14.501,4,#9DC3E6
-1.0,-14.5,-1,#9D6C97
-0.002,-14.498,4,#9DC3E6
0.9,-14.4,0,#9DD9C5
-0.102,-14.398,3,#9DC3E6
0.806,-14.306000000000001,1,#9DD9C5
-0.2,-14.3,4,#9DC3E6
0.701,-14.201,3,#9DD9C5
-0.3,-14.2,5,#9DC3E6
0.604,-14.104,1,#9DD9C5
-0.4,-14.1,3,#9DC3E6
0.504,-14.004,3,#9DD9C5
-0.501,-13.999,4,#9DC3E6
0.403,-13.903,2,#9DD9C5
-0.6,-13.9,6,#9DC3E6
0.301,-13.801,0,#9DD9C5
-0.7,-13.8,4,#9DC3E6
0.208,-13.708,0,#9DD9C5
-0.8,-13.7,3,#9DC3E6
0.103,-13.603,3,#9DD9C5
-0.903,-13.597,3,#9DC3E6
1.007,-13.507,3,#9D6C97
0.003,-13.503,1,#9DD9C5
0.001,-13.501,2,#9DD9C5
-1.0,-13.5,4,#9DC3E6
-0.002,-13.498,2,#9DD9C5
0.9,-13.4,5,#9D6C97
-0.102,-13.398,1,#9DD9C5
0.806,-13.306000000000001,3,#9D6C97
-0.2,-13.3,2,#9DD9C5
0.701,-13.201,3,#9D6C97
-0.3,-13.2,2,#9DD9C5
0.604,-13.104,1,#9D6C97
-0.4,-13.1,1,#9DD9C5
0.504,-13.004,5,#9D6C97
-0.501,-12.999,2,#9DD9C5
0.403,-12.903,2,#9D6C97
-0.6,-12.9,0,#9DD9C5
0.301,-12.801,4,#9D6C97
-0.7,-12.8,0,#9DD9C5
0.208,-12.708,3,#9D6C97
-0.8,-12.7,4,#9DD9C5
0.103,-12.603,0,#9D6C97
-0.903,-12.597,4,#9DD9C5
1.007,-12.507,3,#9DC3E6
0.003,-12.503,1,#9D6C97
0.001,-12.501,4,#9D6C97
-1.0,-12.5,2,#9DD9C5
-0.002,-12.498,3,#9D6C97
0.9,-12.4,1,#9DC3E6
-0.102,-12.398,3,#9D6C97
0.806,-12.306000000000001,2,#9DC3E6
-0.2,-12.3,3,#9D6C97
0.701,-12.201,4,#9DC3E6
-0.3,-12.2,5,#9D6C97
0.604,-12.104,4,#9DC3E6
-0.4,-12.1,4,#9D6C97
0.504,-12.004,2,#9DC3E6
-0.501,-11.999,4,#9D6C97
0.403,-11.903,4,#9DC3E6
-0.6,-11.9,4,#9D6C97
0.301,-11.801,1,#9DC3E6
-0.7,-11.8,3,#9D6C97
0.208,-11.708,3,#9DC3E6
-0.8,-11.7,1,#9D6C97
0.103,-11.603,3,#9DC3E6
-0.903,-11.597,3,#9D6C97
1.007,-11.507,-1,#9DD9C5
0.003,-11.503,2,#9DC3E6
0.001,-11.501,4,#9DC3E6
-1.0,-11.5,3,#9D6C97
-0.002,-11.498,2,#9DC3E6
0.9,-11.4,2,#9DD9C5
-0.102,-11.398,6,#9DC3E6
0.806,-11.306000000000001,4,#9DD9C5
-0.2,-11.3,3,#9DC3E6
0.701,-11.201,3,#9DD9C5
-0.3,-11.2,3,#9DC3E6
0.604,-11.104,2,#9DD9C5
-0.4,-11.1,6,#9DC3E6
0.504,-11.004,3,#9DD9C5
-0.501,-10.999,1,#9DC3E6
0.403,-10.903,4,#9DD9C5
-0.6,-10.9,4,#9DC3E6
0.301,-10.801,3,#9DD9C5
-0.7,-10.8,4,#9DC3E6
0.208,-10.708,4,#9DD9C5
-0.8,-10.7,4,#9DC3E6
0.103,-10.603,4,#9DD9C5
-0.903,-10.597,1,#9DC3E6
1.007,-10.507,4,#9D6C97
0.003,-10.503,1,#9DD9C5
0.001,-10.501,4,#9DD9C5
-1.0,-10.5,2,#9DC3E6
-0.002,-10.498,5,#9DD9C5
0.9,-10.4,5,#9D6C97
-0.102,-10.398,6,#9DD9C5
0.806,-10.306000000000001,4,#9D6C97
-0.2,-10.3,3,#9DD9C5
0.701,-10.201,2,#9D6C97
-0.3,-10.2,1,#9DD9C5
0.604,-10.104,4,#9D6C97
-0.4,-10.1,3,#9DD9C5
0.504,-10.004,4,#9D6C97
-0.501,-9.999,4,#9DD9C5
0.403,-9.903,5,#9D6C97
-0.6,-9.9,2,#9DD9C5
0.301,-9.801,6,#9D6C97
-0.7,-9.8,5,#9DD9C5
0.208,-9.708,6,#9D6C97
-0.8,-9.7,2,#9DD9C5
0.103,-9.603,5,#9D6C97
-0.903,-9.597,5,#9DD9C5
1.007,-9.507,4,#9DC3E6
0.003,-9.503,3,#9D6C97
0.001,-9.501,3,#9D6C97
-1.0,-9.5,1,#9DD9C5
-0.002,-9.498,3,#9D6C97
0.9,-9.4,5,#9DC3E6
-0.102,-9.398,5,#9D6C97
0.806,-9.306000000000001,6,#9DC3E6
-0.2,-9.3,7,#9D6C97
0.701,-9.201,5,#9DC3E6
-0.3,-9.2,6,#9D6C97
0.604,-9.104,6,#9DC3E6
-0.4,-9.1,5,#9D6C97
0.504,-9.004,6,#9DC3E6
-0.501,-8.999,6,#9D6C97
0.403,-8.903,4,#9DC3E6
-0.6,-8.9,8,#9D6C97
0.301,-8.801,5,#9DC3E6
-0.7,-8.8,5,#9D6C97
0.208,-8.708,6,#9DC3E6
-0.8,-8.7,4,#9D6C97
0.103,-8.603,3,#9DC3E6
-0.903,-8.597,7,#9D6C97
1.007,-8.507,5,#9DD9C5
0.003,-8.503,5,#9DC3E6
0.001,-8.501,8,#9DC3E6
-1.0,-8.5,5,#9D6C97
-0.002,-8.498,4,#9DC3E6
0.9,-8.4,2,#9DD9C5
-0.102,-8.398,6,#9DC3E6
0.806,-8.306000000000001,6,#9DD9C5
-0.2,-8.3,8,#9DC3E6
0.701,-8.201,4,#9DD9C5
-0.3,-8.2,7,#9DC3E6
0.604,-8.104,5,#9DD9C5
-0.4,-8.1,5,#9DC3E6
0.504,-8.004,4,#9DD9C5
-0.501,-7.999,9,#9DC3E6
0.403,-7.9030000000000005,5,#9DD9C5
-0.6,-7.9,8,#9DC3E6
0.301,-7.801,7,#9DD9C5
-0.7,-7.8,7,#9DC3E6
0.208,-7.708,5,#9DD9C5
-0.8,-7.7,6,#9DC3E6
0.103,-7.603,8,#9DD9C5
-0.903,-7.5969999999999995,6,#9DC3E6
1.007,-7.507,8,#9D6C97
0.003,-7.503,7,#9DD9C5
0.001,-7.501,6,#9DD9C5
-1.0,-7.5,4,#9DC3E6
-0.002,-7.498,7,#9DD9C5
0.9,-7.4,8,#9D6C97
-0.102,-7.398,7,#9DD9C5
0.806,-7.306,6,#9D6C97
-0.2,-7.3,8,#9DD9C5
0.701,-7.201,9,#9D6C97
-0.3,-7.2,8,#9DD9C5
0.604,-7.104,9,#9D6C97
-0.4,-7.1,5,#9DD9C5
0.504,-7.004,12,#9D6C97
-0.501,-6.999,9,#9DD9C5
0.403,-6.9030000000000005,10,#9D6C97
-0.6,-6.9,8,#9DD9C5
0.301,-6.801,10,#9D6C97
-0.7,-6.8,9,#9DD9C5
0.208,-6.708,12,#9D6C97
-0.8,-6.7,8,#9DD9C5
0.103,-6.603,11,#9D6C97
-0.903,-6.5969999999999995,11,#9DD9C5
1.007,-6.507,9,#9DC3E6
0.003,-6.503,9,#9D6C97
0.001,-6.501,9,#9D6C97
-1.0,-6.5,9,#9DD9C5
-0.002,-6.498,10,#9D6C97
0.9,-6.4,9,#9DC3E6
-0.102,-6.398,12,#9D6C97
0.806,-6.306,11,#9DC3E6
-0.2,-6.3,9,#9D6C97
0.701,-6.201,11,#9DC3E6
-0.3,-6.2,14,#9D6C97
0.604,-6.104,11,#9DC3E6
-0.4,-6.1,12,#9D6C97
0.504,-6.004,12,#9DC3E6
-0.501,-5.999,16,#9D6C97
0.403,-5.9030000000000005,14,#9DC3E6
-0.6,-5.9,14,#9D6C97
0.301,-5.801,13,#9DC3E6
-0.7,-5.8,15,#9D6C97
0.208,-5.708,13,#9DC3E6
-0.8,-5.7,13,#9D6C97
0.103,-5.603,15,#9DC3E6
-0.903,-5.5969999999999995,18,#9D6C97
1.007,-5.507,19,#9DD9C5
0.003,-5.503,16,#9DC3E6
0.001,-5.501,16,#9DC3E6
-1.0,-5.5,15,#9D6C97
-0.002,-5.498,15,#9DC3E6
0.9,-5.4,18,#9DD9C5
-0.102,-5.398,16,#9DC3E6
0.806,-5.306,20,#9DD9C5
-0.2,-5.3,19,#9DC3E6
0.701,-5.201,21,#9DD9C5
-0.3,-5.2,19,#9DC3E6
0.604,-5.104,23,#9DD9C5
-0.4,-5.1,22,#9DC3E6
0.504,-5.004,24,#9DD9C5
-0.501,-4.999,23,#9DC3E6
0.403,-4.9030000000000005,24,#9DD9C5
-0.6,-4.9,24,#9DC3E6
0.301,-4.801,26,#9DD9C5
-0.7,-4.8,24,#9DC3E6
0.208,-4.708,26,#9DD9C5
-0.8,-4.7,27,#9DC3E6
0.103,-4.603,28,#9DD9C5
-0.903,-4.5969999999999995,29,#9DC3E6
1.007,-4.507,34,#9D6C97
0.003,-4.503,34,#9DD9C5
0.001,-4.501,31,#9DD9C5
-1.0,-4.5,27,#9DC3E6
-0.002,-4.498,30,#9DD9C5
0.9,-4.4,35,#9D6C97
-0.102,-4.398,32,#9DD9C5
0.806,-4.306,37,#9D6C97
-0.2,-4.3,34,#9DD9C5
0.701,-4.201,38,#9D6C97
-0.3,-4.2,38,#9DD9C5
0.604,-4.104,42,#9D6C97
-0.4,-4.1,41,#9DD9C5
0.504,-4.004,45,#9D6C97
-0.501,-3.999,44,#9DD9C5
0.403,-3.903,47,#9D6C97
-0.6,-3.9,48,#9DD9C5
0.301,-3.801,51,#9D6C97
-0.7,-3.8,49,#9DD9C5
0.208,-3.708,55,#9D6C97
-0.8,-3.7,51,#9DD9C5
0.103,-3.603,61,#9D6C97
-0.903,-3.597,57,#9DD9C5
1.007,-3.5069999999999997,60,#9DC3E6
0.003,-3.503,63,#9D6C97
0.001,-3.501,64,#9D6C97
-1.0,-3.5,60,#9DD9C5
-0.002,-3.498,65,#9D6C97
0.9,-3.4,67,#9DC3E6
-0.102,-3.398,68,#9D6C97
0.806,-3.306,72,#9DC3E6
-0.2,-3.3,70,#9D6C97
0.701,-3.201,77,#9DC3E6
-0.3,-3.2,78,#9D6C97
0.604,-3.104,85,#9DC3E6
-0.4,-3.1,88,#9D6C97
0.504,-3.004,92,#9DC3E6
-0.501,-2.999,98,#9D6C97
0.403,-2.903,104,#9DC3E6
-0.6,-2.9,106,#9D6C97
0.301,-2.801,130,#9DC3E6
-0.7,-2.8,125,#9D6C97
0.208,-2.708,236,#9DC3E6
-0.8,-2.7,226,#9D6C97
0.103,-2.603,938,#9DC3E6
-0.903,-2.597,900,#9D6C97
1.007,-2.5069999999999997,2256,#9DD9C5
0.003,-2.503,2198,#9DC3E6
0.001,-2.501,2241,#9DC3E6
-1.0,-2.5,2059,#9D6C97
-0.002,-2.498,2277,#9DC3E6
0.9,-2.4,3989,#9DD9C5
-0.102,-2.398,3906,#9DC3E6
0.806,-2.306,5829,#9DD9C5
-0.2,-2.3,5773,#9DC3E6
0.701,-2.201,8178,#9DD9C5
-0.3,-2.2,7990,#9DC3E6
0.604,-2.104,10587,#9DD9C5
-0.4,-2.1,10473,#9DC3E6
0.504,-2.004,13202,#9DD9C5
-0.501,-1.999,13120,#9DC3E6
0.403,-1.903,16053,#9DD9C5
-0.6,-1.9,15857,#9DC3E6
0.301,-1.801,19041,#9DD9C5
-0.7,-1.8,18771,#9DC3E6
0.208,-1.708,21817,#9DD9C5
-0.8,-1.7,21686,#9DC3E6
0.103,-1.603,24331,#9DD9C5
-0.903,-1.597,24214,#9DC3E6
1.007,-1.507,26405,#9D6C97
0.003,-1.503,26175,#9DD9C5
0.001,-1.501,26226,#9DD9C5
-1.0,-1.5,25972,#9DC3E6
-0.002,-1.498,26284,#9DD9C5
0.9,-1.4,28019,#9D6C97
-0.102,-1.398,27793,#9DD9C5
0.806,-1.306,29317,#9D6C97
-0.2,-1.3,29088,#9DD9C5
0.701,-1.201,30617,#9D6C97
-0.3,-1.2,30297,#9DD9C5
0.604,-1.104,31663,#9D6C97
-0.4,-1.1,31369,#9DD9C5
0.504,-1.004,32579,#9D6C97
-0.501,-0.999,32265,#9DD9C5
0.403,-0.903,33428,#9D6C97
-0.6,-0.9,33070,#9DD9C5
0.301,-0.8009999999999999,34140,#9D6C97
-0.7,-0.8,33740,#9DD9C5
0.208,-0.708,34725,#9D6C97
-0.8,-0.7,34349,#9DD9C5
0.103,-0.603,35263,#9D6C97
-0.903,-0.597,34883,#9DD9C5
1.007,-0.5069999999999999,35487,#9DC3E6
0.003,-0.503,35547,#9D6C97
0.001,-0.501,35677,#9D6C97
-1.0,-0.5,35244,#9DD9C5
-0.002,-0.498,35600,#9D6C97
0.9,-0.4,35766,#9DC3E6
-0.102,-0.398,35884,#9D6C97
0.806,-0.30600000000000005,35958,#9DC3E6
