xaxis,yaxis,colors
-500,0,#9D6C97
-16.306,-2,#9D6C97
-16.201,1,#9D6C97
-16.104,1,#9D6C97
-16.004,0,#9D6C97
-15.903,1,#9D6C97
-15.801,1,#9D6C97
-15.708,1,#9D6C97
-15.603,1,#9D6C97
-15.4995,1,#9D6C97
-15.399,1.5,#9D6C97
-15.303,3,#9D6C97
-15.2005,1.5,#9D6C97
-15.102,3,#9D6C97
-15.0015,1.5,#9D6C97
-14.9015,2,#9D6C97
-14.8005,1.5,#9D6C97
-14.704,1.5,#9D6C97
-14.6,3,#9D6C97
-14.499,1.5,#9DC3E6
-14.399,1.5,#9DC3E6
-14.303,2.5,#9DC3E6
-14.2005,4,#9DC3E6
-14.102,2,#9DC3E6
-14.0015,3.5,#9DC3E6
-13.9015,4,#9DC3E6
-13.8005,2,#9DC3E6
-13.704,1.5,#9DC3E6
-13.6,3,#9DC3E6
-13.499,3,#9DD9C5
-13.399,3,#9DD9C5
-13.303,2.5,#9DD9C5
-13.2005,2.5,#9DD9C5
-13.102,1,#9DD9C5
-13.0015,3.5,#9DD9C5
-12.9015,1,#9DD9C5
-12.8005,2,#9DD9C5
-12.704,3.5,#9DD9C5
-12.6,2,#9DD9C5
-12.499,2.5,#9D6C97
-12.399,2,#9D6C97
-12.303,2.5,#9D6C97
-12.2005,4.5,#9D6C97
-12.102,4,#9D6C97
-12.0015,3,#9D6C97
-11.9015,4,#9D6C97
-11.8005,2,#9D6C97
-11.704,2,#9D6C97
-11.6,3,#9D6C97
-11.499,2.5,#9DC3E6
-11.399,4,#9DC3E6
-11.303,3.5,#9DC3E6
-11.2005,3,#9DC3E6
-11.102,4,#9DC3E6
-11.0015,2,#9DC3E6
-10.9015,4,#9DC3E6
-10.8005,3.5,#9DC3E6
-10.704,4,#9DC3E6
-10.6,2.5,#9DC3E6
-10.499,3.5,#9DD9C5
-10.399,5.5,#9DD9C5
-10.303,3.5,#9DD9C5
-10.2005,1.5,#9DD9C5
-10.102,3.5,#9DD9C5
-10.0015,4,#9DD9C5
-9.9015,3.5,#9DD9C5
-9.8005,5.5,#9DD9C5
-9.704,4,#9DD9C5
-9.6,5,#9DD9C5
-9.499,2,#9D6C97
-9.399,5,#9D6C97
-9.303,6.5,#9D6C97
-9.2005,5.5,#9D6C97
-9.102,5.5,#9D6C97
-9.0015,6,#9D6C97
-8.9015,6,#9D6C97
-8.8005,5,#9D6C97
-8.704,5,#9D6C97
-8.6,5,#9D6C97
-8.499,4.5,#9DC3E6
-8.399,4,#9DC3E6
-8.303,7,#9DC3E6
-8.2005,5.5,#9DC3E6
-8.102,5,#9DC3E6
-8.0015,6.5,#9DC3E6
-7.9015,6.5,#9DC3E6
-7.8005,7,#9DC3E6
-7.704,5.5,#9DC3E6
-7.6,7,#9DC3E6
-7.499,5.5,#9DD9C5
-7.399,7.5,#9DD9C5
-7.303,7,#9DD9C5
-7.2005,8.5,#9DD9C5
-7.102,7,#9DD9C5
-7.0015,10.5,#9DD9C5
-6.9015,9,#9DD9C5
-6.8005,9.5,#9DD9C5
-6.704,10,#9DD9C5
-6.6,11,#9DD9C5
-6.499,9.5,#9D6C97
-6.399,10.5,#9D6C97
-6.303,10,#9D6C97
-6.2005,12.5,#9D6C97
-6.102,11.5,#9D6C97
-6.0015,14,#9D6C97
-5.9015,14,#9D6C97
-5.8005,14,#9D6C97
-5.704,13,#9D6C97
-5.6,16.5,#9D6C97
-5.499,15,#9DC3E6
-5.399,17,#9DC3E6
-5.303,19.5,#9DC3E6
-5.2005,20,#9DC3E6
-5.102,22.5,#9DC3E6
-5.0015,23.5,#9DC3E6
-4.9015,24,#9DC3E6
-4.8005,25,#9DC3E6
-4.704,26.5,#9DC3E6
-4.6,28.5,#9DC3E6
-4.499,28.5,#9DD9C5
-4.399,33.5,#9DD9C5
-4.303,35.5,#9DD9C5
-4.2005,38,#9DD9C5
-4.102,41.5,#9DD9C5
-4.0015,44.5,#9DD9C5
-3.9015,47.5,#9DD9C5
-3.8005,50,#9DD9C5
-3.704,53,#9DD9C5
-3.6,59,#9DD9C5
-3.499,62.5,#9D6C97
-3.399,67.5,#9D6C97
-3.303,71,#9D6C97
-3.2005,77.5,#9D6C97
-3.102,86.5,#9D6C97
-3.0015,95,#9D6C97
-2.9015,105,#9D6C97
-2.8005,127.5,#9D6C97
-2.704,231,#9D6C97
-2.6,919,#9D6C97
-2.499,2168,#9DC3E6
-2.399,3947.5,#9DC3E6
-2.303,5801,#9DC3E6
-2.2005,8084,#9DC3E6
-2.102,10530,#9DC3E6
-2.0015,13161,#9DC3E6
-1.9015,15955,#9DC3E6
-1.8005,18906,#9DC3E6
-1.704,21751.5,#9DC3E6
-1.6,24272.5,#9DC3E6
-1.499,26128,#9DD9C5
-1.399,27906,#9DD9C5
-1.303,29202.5,#9DD9C5
-1.2005,30457,#9DD9C5
-1.102,31516,#9DD9C5
-1.0015,32422,#9DD9C5
-0.9015,33249,#9DD9C5
-0.8005,33940,#9DD9C5
-0.704,34537,#9DD9C5
-0.6,35073,#9DD9C5
-0.499,35422,#9D6C97
-0.399,35825,#9D6C97
-0.303,36021.5,#9D6C97
-0.2005,36147.5,#9D6C97
-0.102,36223,#9D6C97
-0.0015,36161,#9D6C97
0.0985,36063,#9D6C97
0.1995,35885.5,#9D6C97
0.296,35684,#9D6C97
0.4,35395.5,#9D6C97
0.501,35010,#9DC3E6
0.601,34471.5,#9DC3E6
0.697,33955.5,#9DC3E6
0.7995,33302.5,#9DC3E6
0.898,32551.5,#9DC3E6
0.9985,31687.5,#9DC3E6
1.0985,30719,#9DC3E6
1.1995,29593.5,#9DC3E6
1.296,28389.5,#9DC3E6
1.4,27008.5,#9DC3E6
1.501,25548.5,#9DD9C5
1.601,23729,#9DD9C5
1.697,21751,#9DD9C5
1.7995,18970.5,#9DD9C5
1.898,16193.5,#9DD9C5
1.9985,13509.5,#9DD9C5
2.0985,10977,#9DD9C5
2.1995,8585,#9DD9C5
2.296,6467,#9DD9C5
2.4,4459.5,#9DD9C5
2.501,2784,#9D6C97
2.601,1284.5,#9D6C97
2.697,398,#9D6C97
2.7995,158,#9D6C97
2.898,129.5,#9D6C97
2.9985,111,#9D6C97
3.0985,100,#9D6C97
3.1995,91,#9D6C97
3.296,82,#9D6C97
3.4,76.5,#9D6C97
3.501,72,#9DC3E6
3.601,69,#9DC3E6
3.697,63,#9DC3E6
3.7995,59.5,#9DC3E6
3.898,55,#9DC3E6
3.9985,51,#9DC3E6
4.0985,47.5,#9DC3E6
4.1995,45.5,#9DC3E6
4.296,41.5,#9DC3E6
4.4,41,#9DC3E6
4.501,37,#9DD9C5
4.601,34,#9DD9C5
4.697,28.5,#9DD9C5
4.7995,29,#9DD9C5
4.898,27,#9DD9C5
4.9985,25.5,#9DD9C5
5.0985,24,#9DD9C5
5.1995,24,#9DD9C5
5.296,24,#9DD9C5
5.4,20,#9DD9C5
5.501,20,#9D6C97
5.601,21.5,#9D6C97
5.697,19,#9D6C97
5.7995,19.5,#9D6C97
5.898,17,#9D6C97
5.9985,15,#9D6C97
6.0985,15.5,#9D6C97
6.1995,16,#9D6C97
6.296,12,#9D6C97
6.4,13.5,#9D6C97
6.501,14.5,#9DC3E6
6.601,11,#9DC3E6
6.697,10.5,#9DC3E6
6.7995,9.5,#9DC3E6
6.898,10.5,#9DC3E6
6.9985,9.5,#9DC3E6
7.0985,10.5,#9DC3E6
7.1995,10,#9DC3E6
7.296,9.5,#9DC3E6
7.4,7,#9DC3E6
7.501,7,#9DD9C5
7.601,6.5,#9DD9C5
7.697,6,#9DD9C5
7.7995,6.5,#9DD9C5
7.898,5,#9DD9C5
7.9985,5.5,#9DD9C5
8.0985,7,#9DD9C5
8.1995,4.5,#9DD9C5
8.296,6,#9DD9C5
8.4,4.5,#9DD9C5
8.501,4.5,#9D6C97
8.601,9,#9D6C97
8.697,8,#9D6C97
8.7995,7,#9D6C97
8.898,6.5,#9D6C97
8.9985,7,#9D6C97
9.0985,5.5,#9D6C97
9.1995,7.5,#9D6C97
9.296,4.5,#9D6C97
9.4,5.5,#9D6C97
9.501,6.5,#9DC3E6
9.601,4.5,#9DC3E6
9.697,3.5,#9DC3E6
9.7995,5,#9DC3E6
9.898,3.5,#9DC3E6
9.9985,4.5,#9DC3E6
10.0985,3,#9DC3E6
10.1995,4,#9DC3E6
10.296,5,#9DC3E6
10.4,3.5,#9DC3E6
10.501,2,#9DD9C5
10.601,2.5,#9DD9C5
10.697,2.5,#9DD9C5
10.7995,2.5,#9DD9C5
10.898,4,#9DD9C5
10.9985,3,#9DD9C5
11.0985,2.5,#9DD9C5
11.1995,0.5,#9DD9C5
11.296,2,#9DD9C5
11.4,3,#9DD9C5
11.501,0,#9D6C97
11.601,3.5,#9D6C97
11.697,5.5,#9D6C97
11.7995,5,#9D6C97
11.898,3.5,#9D6C97
11.9985,4.5,#9D6C97
12.0985,4.5,#9D6C97
12.1995,3.5,#9D6C97
12.296,3,#9D6C97
12.4,2.5,#9D6C97
12.501,5,#9DC3E6
12.601,4.5,#9DC3E6
12.697,5.5,#9DC3E6
12.7995,3.5,#9DC3E6
12.898,5.5,#9DC3E6
12.9985,5.5,#9DC3E6
13.0985,4,#9DC3E6
13.1995,4.5,#9DC3E6
13.296,4.5,#9DC3E6
13.4,4.5,#9DC3E6
13.501,3.5,#9DD9C5
13.601,6.5,#9DD9C5
13.697,7,#9DD9C5
13.7995,5.5,#9DD9C5
13.898,5.5,#9DD9C5
13.9985,4.5,#9DD9C5
14.0985,5,#9DD9C5
14.1995,6.5,#9DD9C5
14.296,4.5,#9DD9C5
14.4,5.5,#9DD9C5
14.501,5,#9D6C97
14.601,3.5,#9D6C97
14.697,4.5,#9D6C97
14.7995,4.5,#9D6C97
14.898,4.5,#9D6C97
14.9985,5,#9D6C97
15.0985,3.5,#9D6C97
15.1995,4,#9D6C97
15.296,3.5,#9D6C97
15.4,4,#9D6C97
15.501,3,#9DC3E6
15.602,1,#9DC3E6
15.7,2,#9DC3E6
15.8,1,#9DC3E6
15.9,2,#9DC3E6
16.001,3,#9DC3E6
16.1,2,#9DC3E6
16.2,2,#9DC3E6
16.3,4,#9DC3E6
16.403,2,#9DC3E6
16.5,4,#9DC3E6
500,0,#9DC3E6