plot,file,points,angle,slice1guess,slice2guess,normal_slice,slice1,slice2,sliceonedeg,displacement,location
x,Ann_7_70deg.csv,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
x,Ann_8b_W2_70deg.csv,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
x,Ann_8d_C2_70deg.csv,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
x,Ann_10_70deg.csv,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
,PT_SiRef_shiny_70.csv,4096,70,1800,2300,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/reference/
x,refrockley_focus_0.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
x,refrockley_focus_m1.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,refrockley_focus_m2.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,refrockley_focus_m3.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
x,refrockley_focus_p1.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,refrockley_focus_p2.csv,4096,12,500,3500,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/refocus/
,Ann5_offaxis_20deg.csv,4096,20,1000,2000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,Ann7_offaxis_20deg.csv,4096,20,1000,2000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,Ann8_offaxis_20deg.csv,4096,20,1000,2000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,Ann10_offaxis_20deg.csv,4096,20,1000,2000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/
,Oxide1_offaxis_20deg.csv,4096,20,1000,2000,0,0,0,0,0,/Users/carlosreyes/Desktop/Academics/postdoc/confirm/python/optosurf/Streamlit/data/f/offaxis/